gene,gene_number,cpath,cost,x,y,z,cc,cc_size
Stip1,221,"[3522, 7111, 16513, 22499]",2.0121284691939625,230.38378550549663,1903.8719426376915,0.0,822,18
negative_control,1268,"[6768, 11137, 15303, 17382]",2.6212175872194665,231.19674356504,1902.769021119636,0.0,822,18
negative_control,900,"[6984, 19752, 21090, 23381]",3.70800979527615,230.5012495659808,1905.3608594552124,0.0,822,18
Lrrc59,79,"[8348, 16955, 18684, 24195]",3.856565243062515,229.3309302270127,1903.1088176624578,0.0,822,18
Npc2,128,"[3187, 4815, 21663, 22832]",0.8721935193067696,231.12724516317087,1863.6042654939488,0.0,823,1
Tubb5,246,"[3188, 14111, 17383, 22212]",2.113546104417207,231.6306141381201,1846.4608886975643,0.0,824,1
Npc2,128,"[3191, 4816, 21667, 22835]",0.775457522673233,232.13160615173098,1876.1162447824506,0.0,825,5
negative_control,572,"[9780, 15758, 19250, 24202]",2.906761949490054,233.24962299729006,1874.4820639350783,0.0,825,5
Sfpq,206,"[7248, 12113, 16690, 19007]",3.2450126534512655,233.03768245608475,1874.7803645621461,0.0,825,5
Pdia3,140,"[3210, 5997, 15765, 21870]",1.8934292079888801,239.99169811375134,1853.3705409471545,0.0,826,1
Tubb5,246,"[3211, 14119, 17401, 22228]",0.7628044843525288,240.261295251823,1855.632892869857,0.0,827,1
Mtch1,115,"[3218, 8846, 18692, 21423]",2.186385805783852,241.8208344139126,1890.7456981448145,0.0,828,1
Snx5,212,"[3254, 8657, 17950, 19894]",1.5244222963911398,117.14139912142274,1893.20143866724,0.0,829,1
Stip1,221,"[3260, 7012, 16414, 22321]",3.8157743049307165,123.84489854146783,1854.3223619929788,0.0,830,1
St13,220,"[7138, 9173, 11963, 13454]",1.2642279245690566,128.68053857806095,1828.3738168465957,0.0,831,2
Mdh2,85,"[7948, 13458, 16553, 21473]",1.4738827664928418,130.1265605089311,1877.5051535908224,0.0,832,5
Zyx,271,"[5373, 8900, 18397, 20349]",2.254264245557228,130.57994410577254,1876.1118866932793,0.0,832,5
Stip1,221,"[3273, 7015, 16418, 22332]",2.307048371923397,129.06578430356538,1876.691225108746,0.0,832,5
Twist2,247,"[10220, 15587, 17796, 23106]",1.876017867287188,129.78121745762968,1897.5927359496309,0.0,833,2
Ncl,121,"[3285, 6525, 21476, 23111]",0.26419397956293844,131.34706633985232,1808.9176918933913,0.0,834,1
Snx5,212,"[3287, 8678, 17994, 19936]",0.9910098547766582,134.10772296467155,1862.2289001859003,0.0,835,1
Ncl,121,"[3297, 6536, 21492, 23131]",0.49282973887532583,137.4778369667032,1834.6411641607551,0.0,836,1
Ncl,121,"[3309, 6545, 21502, 23146]",1.5386791241402322,142.10240314744811,1866.5168005365442,0.0,837,1
Snx5,212,"[3315, 8695, 18011, 19959]",2.5744666405197147,144.9925897169366,1891.5575404295737,0.0,838,1
Trap1,240,"[3322, 10983, 17482, 22911]",3.1391938009298825,146.5584769497163,1819.9047496860737,0.0,839,1
Ncl,121,"[3328, 6569, 21516, 23170]",2.208870857773494,150.97229314531359,1833.2411396547802,0.0,840,1
Ncl,121,"[3349, 6584, 21532, 23187]",1.2302101216550008,158.8251616467027,1894.4163537311724,0.0,841,1
Fxr1,48,"[3354, 7167, 16592, 21250]",0.7533465871763158,161.36147849937294,1797.603422558695,0.0,842,1
Stip1,221,"[3360, 7059, 16445, 22385]",3.165368829756907,163.9418939197667,1847.2225671150024,0.0,843,1
Hsd17b12,61,"[3365, 11631, 17237, 21542]",1.7257431633535432,164.91379517463304,1812.8347525308386,0.0,844,1
Rrp1,198,"[3366, 8722, 12672, 17509]",2.664927750499431,164.53067603340446,1850.177100657032,0.0,845,1
negative_control,1897,"[3370, 8984, 21257, 22777]",3.5850193704383013,165.80906154408237,1922.7113012530108,0.0,846,1
Stip1,221,"[3388, 7064, 16455, 22396]",1.1617134095208241,171.76614067672986,1798.3602756679402,0.0,847,1
Ncl,121,"[3399, 6629, 21562, 23228]",3.6836500644220864,177.19032926943788,1819.3060943770674,0.0,848,1
Hsd17b12,61,"[3405, 11655, 17272, 21570]",3.0324438160472282,180.7200732251577,1831.591387020129,0.0,849,1
Ncl,121,"[3407, 6638, 21568, 23239]",1.2793995505053368,180.87356856351332,1921.774686864479,0.0,850,1
Snx5,212,"[3413, 8749, 18076, 20052]",0.13107971299608512,182.56964082022955,1851.5142931742844,0.0,851,1
Ncl,121,"[3414, 6645, 21575, 23242]",0.35989885578761516,183.03297570680132,1844.4351874943764,0.0,852,1
Rpl15,186,"[11052, 12263, 21791, 23247]",0.45660827993250963,185.4421550818336,1899.910855344753,0.0,853,2
Stip1,221,"[3430, 7074, 16476, 22430]",2.295725999010827,189.1439942648654,1840.6847570468508,0.0,854,2
Ncl,121,"[3432, 6666, 21584, 23259]",2.0664295542005746,189.53827956240957,1854.6807469301862,0.0,855,1
Rrp1,198,"[3440, 8767, 12707, 17562]",0.5186099803636968,193.71947865807275,1868.4086384547281,0.0,856,2
